spot_id,spot_name,lat,lon,count,spot_types,is_parking
0,奈良先端科学技術大学院大学 先端科学技術研究科 情報科学領域,34.73163,135.73469,16466,"[""university"", ""point_of_interest"", ""establishment""]",True
1,学際融合領域研究棟２号館,34.73226,135.73243,5665,"[""university"", ""point_of_interest"", ""establishment""]",True
2,物質創成科学領域E棟,34.73027,135.73393,5268,"[""university"", ""point_of_interest"", ""establishment""]",True
3,学際融合領域研究棟1号館,34.73093,135.73537,4056,"[""university"", ""point_of_interest"", ""establishment""]",True
4,学研奈良登美ヶ丘駅,34.7268,135.75438,3829,"[""spa"", ""point_of_interest"", ""establishment""]",True
5,株式会社ATR-Promotions,34.744171,135.766575,1632,"[""point_of_interest"", ""establishment""]",True
6,セブン-イレブン 生駒鹿畑町店,34.72856,135.75203,580,"[""convenience_store"", ""atm"", ""finance"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",False
7,イオンモール奈良登美ヶ丘,34.72487,135.75055,534,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",False
8,スーパーヤオヒコ 北大和店,34.72639,135.72858,424,"[""supermarket"", ""grocery_or_supermarket"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",False
9,Nara BMW本社ショールーム/BMW Premium Selection 奈良三条,34.679843500000004,135.81231250000002,366,"[""car_dealer"", ""store"", ""point_of_interest"", ""establishment""]",False
10,グリーンラボ,34.734335,135.736416,362,"[""park"", ""point_of_interest"", ""establishment""]",False
11,ローソン 学研北生駒駅前店,34.72372,135.7234,356,"[""convenience_store"", ""atm"", ""finance"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",False
12,かつアンドかつ 精華町店,34.74543,135.76707,313,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
13,マクドナルド 白庭台店,34.726563,135.715908,274,"[""store"", ""cafe"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
14,イオンモール奈良登美ヶ丘,34.72542,135.75103,258,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",False
15,吉野家 １６３号線生駒店,34.73153,135.7128,252,"[""meal_takeaway"", ""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",False
16,EVERY BODY 北大和店,34.725787,135.728494,249,"[""gym"", ""health"", ""point_of_interest"", ""establishment""]",False
17,スーパーセンターオークワ 生駒上町店,34.7237,135.72144,242,"[""supermarket"", ""grocery_or_supermarket"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",False
18,Naist Student Dormitory 7,34.734016,135.735853,234,"[""point_of_interest"", ""establishment""]",True
19,イオンモール奈良登美ヶ丘,34.7263545,135.751071,205,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",False
20,奈良先端科学技術大学院大学 学生宿舎,34.73258,135.73562,199,"[""school"", ""point_of_interest"", ""establishment""]",True
21,レクサス枚方,34.815191,135.67141750000002,192,"[""car_dealer"", ""store"", ""point_of_interest"", ""establishment""]",False
22,ブーランジェ ヤマダ,34.745255,135.766323,191,"[""bakery"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",False
23,イオンモール奈良登美ヶ丘,34.72498,135.7512,184,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",False
